StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent_q,att1,att2,combination1,combination1_DO,combination2,combination2_DO,combination3,combination3_DO,combination4,combination4_DO,combination5,combination5_DO,combination6,combination6_DO,pk_egal_1,sk_egal_1,ck_egal_1,pk_selfish_1,sk_selfish_1,ck_selfish_1,pk_alibi_1,sk_alibi_1,ck_alibi_1,comp1,comp2,FL_12_DO,FL_27_DO
1/24/23 15:48,1/24/23 15:50,0,100,116,1,1/24/23 15:50,R_3h0jQHLYcT5XQjR,anonymous,EN,1,2,2,,,3,3|1|2,,,,,,,,,0,4,0,0,0,0,0,0,0,1,2,page1.2,page2|page3|page4
1/24/23 15:49,1/24/23 15:51,0,100,119,1,1/24/23 15:51,R_1Fy1zkqGvkmmHXn,anonymous,EN,1,1,2,,,,,1,2|1|3,,,,,,,2,7,5,90,94,87,93,85,83,1,3,page1.3,page4|page3|page2
1/24/23 15:58,1/24/23 16:00,0,100,142,1,1/24/23 16:00,R_yxcbFZQTPK3eAUx,anonymous,EN,1,2,2,3,1|2|3,,,,,,,,,,,78,75,75,70,75,76,18,30,20,1,2,page1.1,page4|page3|page2
1/24/23 15:57,1/24/23 16:00,0,100,227,1,1/24/23 16:00,R_2YwXq6yUIihCN5G,anonymous,EN,1,2,2,,,,,,,,,,,1,2|1|3,0,0,0,97,98,96,0,10,0,1,2,page1.6,page4|page2|page3
1/24/23 15:58,1/24/23 16:03,0,100,248,1,1/24/23 16:03,R_1iqx8AUKABNjP1b,anonymous,EN,1,2,2,,,,,,,,,2,3|1|2,,,20,12,14,11,12,8,30,20,16,3,3,page1.5,page2|page3|page4
1/24/23 16:06,1/24/23 16:08,0,100,135,1,1/24/23 16:08,R_2QyCie6Dnq53ywq,anonymous,EN,1,2,2,,,,,,,,,1,3|1|2,,,0,0,0,0,0,0,14,27,17,1,2,page1.5,page3|page2|page4
1/24/23 16:07,1/24/23 16:08,0,100,92,1,1/24/23 16:08,R_3iEXK0zm9N586V0,anonymous,EN,1,2,2,1,2|3|1,,,,,,,,,,,21,21,20,56,47,47,10,9,10,1,2,page1.1,page4|page2|page3
1/24/23 16:07,1/24/23 16:09,0,100,87,1,1/24/23 16:09,R_2SwAP8phuZU8H5F,anonymous,EN,1,2,2,,,1,2|3|1,,,,,,,,,30,20,23,25,12,14,24,22,22,1,2,page1.2,page2|page4|page3
1/24/23 16:05,1/24/23 16:09,0,100,249,1,1/24/23 16:09,R_1QsCh1p3hAkWpaq,anonymous,EN,1,2,2,,,,,,,1,1|3|2,,,,,30,39,34,62,60,67,57,45,45,1,2,page1.4,page2|page4|page3
1/24/23 16:06,1/24/23 16:09,0,100,180,1,1/24/23 16:09,R_Tjwb0ib3FSE5srL,anonymous,EN,1,2,2,,,,,,,3,1|3|2,,,,,50,50,50,50,50,50,79,71,50,1,3,page1.4,page3|page2|page4
1/24/23 16:11,1/24/23 16:13,0,100,108,1,1/24/23 16:13,R_3stdlf85matiN1c,anonymous,EN,1,2,2,,,,,1,2|1|3,,,,,,,82,80,84,93,98,100,98,96,91,1,2,page1.3,page2|page3|page4
1/24/23 16:11,1/24/23 16:14,0,100,164,1,1/24/23 16:14,R_3nrr8oplipz8wQ5,anonymous,EN,1,2,2,,,,,,,,,,,1,2|3|1,50,31,32,100,79,90,100,100,100,3,3,page1.6,page3|page2|page4
1/24/23 16:13,1/24/23 16:14,0,100,67,1,1/24/23 16:14,R_2wmALuqkucOEYEa,anonymous,EN,1,2,2,,,,,3,2|3|1,,,,,,,34,36,59,72,57,56,66,42,61,2,2,page1.3,page4|page3|page2
1/24/23 16:13,1/24/23 16:17,0,100,183,1,1/24/23 16:17,R_1GHUBO8MYZCxWwG,anonymous,EN,1,2,2,,,2,1|2|3,,,,,,,,,70,26,23,80,71,78,83,82,22,1,2,page1.2,page2|page3|page4
1/24/23 16:15,1/24/23 16:17,0,100,107,1,1/24/23 16:17,R_2y91rTA27YtKnnJ,anonymous,EN,1,2,2,,,,,,,,,3,3|1|2,,,33,27,30,40,34,39,29,31,29,1,2,page1.5,page3|page2|page4
1/24/23 16:15,1/24/23 16:19,0,100,234,1,1/24/23 16:19,R_2zjBj7XLF7JZps9,anonymous,EN,1,2,2,,,,,,,2,1|3|2,,,,,0,0,0,100,100,100,100,100,100,1,3,page1.4,page2|page3|page4
1/24/23 16:17,1/24/23 16:19,0,100,128,1,1/24/23 16:19,R_2woVpuTyL8kS4dt,anonymous,EN,1,2,2,,,,,,,,,,,1,1|3|2,0,0,0,100,100,100,100,100,100,1,3,page1.6,page3|page4|page2
1/24/23 16:16,1/24/23 16:19,0,100,204,1,1/24/23 16:19,R_zTlyj7kFwKTUuDD,anonymous,EN,1,2,2,3,2|1|3,,,,,,,,,,,10,10,10,40,40,40,30,30,30,3,2,page1.1,page3|page4|page2
1/24/23 16:17,1/24/23 16:20,0,100,174,1,1/24/23 16:20,R_AMQdtvnJlXDa1oJ,anonymous,EN,1,2,2,2,3|1|2,,,,,,,,,,,22,34,45,26,64,39,80,40,67,1,3,page1.1,page3|page4|page2
1/24/23 16:18,1/24/23 16:21,0,100,215,1,1/24/23 16:21,R_3DqgwBFTc13sJRe,anonymous,EN,1,2,2,,,,,1,3|2|1,,,,,,,15,17,14,88,88,89,65,62,65,1,2,page1.3,page4|page2|page3
1/24/23 16:18,1/24/23 16:22,0,100,263,1,1/24/23 16:22,R_2e8Z695mGC4rPbK,anonymous,EN,1,2,2,,,1,3|1|2,,,,,,,,,7,7,7,75,60,81,91,91,94,1,2,page1.2,page2|page3|page4
1/24/23 16:21,1/24/23 16:23,0,100,93,1,1/24/23 16:23,R_1l4B5r9iVDdV9dy,anonymous,EN,1,2,2,,,,,,,,,1,2|1|3,,,27,31,19,61,62,63,20,22,23,1,3,page1.5,page3|page2|page4
